PARNAZ;PARNIDK;VYSNAZORI;VYSDRUKOD;DRUHODKOD;VYSBOD;VYSKBO;VYSPDL;VYSPDLBOD;VYSPDLKBO;VYSIDKPER;VYSNIDK;VYSWEBURL;DOKNAZPRI;CR_OBRKOD;RVVOBRSKUK;DUVHODPOP;VYSAUTGARJ;AUTSEZDOM;VYSNAVSEZ;VYRROZKODN;VYSROKUPLK
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Mezin·rodnÌ pracovnÌ migrace po vstupu »R do EU a jejÌ soci·lnÌ souvislosti;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/07:00027005!RIV08-GA0-31130___;FinTXzu.3IRpRuo!Uy3N.jwr4yU=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F07%3A00027005!RIV08-GA0-31130___;EkonomickÈ znalosti pro trûnÌ praxi;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Kaczor, Pavel;"Kaczor, Pavel; Mac·kov·, Libuöe";P(GA402/06/0249);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta n·rodohospod·¯sk·;orjk:31150;"Mezin·rodnÌ semin·¯ ""Die demographische Entwicklung in Europa und ihre Konsequenzen f¸r sozialen Sicherungssysteme""";J;Jrec;4,00;4,32;1,00;4,00;4,32;RIV/61384399:31150/07:00025642!RIV08-GA0-31150___;XvwVuEMdLBePE!ynfhIepJikAFU=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31150%2F07%3A00025642!RIV08-GA0-31150___;Demografie;AH;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";Krebs, VojtÏch;Krebs, VojtÏch;P(GA402/07/0165);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;"Mezin·rodnÌ vÏdeck· konference ""Anal˝za kompetencÌ uËitel˘ odborn˝ch ekonomick˝ch p¯edmÏt˘""";J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/07:00027720!RIV08-MSM-31110___;2d0+RrWEH6FJZ2szzF3daJcmMi4=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F07%3A00027720!RIV08-MSM-31110___;Acta Oeconomica Pragensia;AH;1;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;KuËerov·, Marie;"KuËerov·, Marie; Kr·lov·, Alena";S;0;2007
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Mezin·rodnÌ vÏdeck· konference v Tallinnu;J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/07:00025299!RIV08-MSM-31110___;a7LIgnnCEH-8sSKCc4jJvg9mMtc=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F07%3A00025299!RIV08-MSM-31110___;Acta Oeconomica Pragensia;AH;1;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;Knapov·, Bohuslava;Knapov·, Bohuslava;Z(MSM6138439903);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Microeconomic Analysis of the Leisure Time of Managers;J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/07:00028537!RIV08-GA0-31130___;3NJwVbdrHPBsXfo33TsNVWACzSc=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F07%3A00028537!RIV08-GA0-31130___;Sovremennyj nauËnyj vestnik;AH;1;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;Mac·kov·, Libuöe;Mac·kov·, Libuöe;P(GA402/06/0249);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Migrace a jejÌ ˙loha;J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/07:00028204!RIV08-MSM-31140___;yczi3Ccx1i1n68.s8+aP7o7z0RY=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00028204!RIV08-MSM-31140___;Forum Statisticum Slovacum;AO;1;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;Koschin, Felix;Koschin, Felix;P(2D06026);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Migration at the EU Labour Market and the Czech Experiences;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/07:00027448!RIV08-GA0-31130___;xMktf7xxaFIEcH1monn-mVQKoZQ=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F07%3A00027448!RIV08-GA0-31130___;E-Activity and Leading Technologies;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Mac·kov·, Libuöe;Mac·kov·, Libuöe;P(GA402/06/0249);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Migration within the EU and the situation in the Czech Republic;C;BC;40,00;43,20;0,08;3,33;3,60;RIV/61384399:31130/07:00027458!RIV08-GA0-31130___;RZabJxkXXWSL-25HS!6Dd+DVm9A=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F07%3A00027458!RIV08-GA0-31130___;Mezin·rodnÌ pracovnÌ mobilita po vstupu »R do EU;AH;1;"kniha v oborech II. kategorie (obory mimo NRRE) napsan· ve ""svÏtovÈm jazyce""";Mac·kov·, Libuöe;Mac·kov·, Libuöe;P(GA402/06/0249);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Migratory Flows and Unemployment Rate After Accession of the CR into the EU;C;BC;40,00;43,20;0,08;3,33;3,60;RIV/61384399:31130/07:00027461!RIV08-GA0-31130___;mcB7dXam.UuH!qb8a5n35L3zytI=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F07%3A00027461!RIV08-GA0-31130___;Mezin·rodnÌ pracovnÌ mobilita po vstupu »R do EU;AH;1;"kniha v oborech II. kategorie (obory mimo NRRE) napsan· ve ""svÏtovÈm jazyce""";Mac·kov·, Libuöe;"Mac·kov·, Libuöe; Ad·mek, Petr; Dobrylovsk˝, Ji¯Ì";P(GA402/06/0249);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;MimoevropskÈ systÈmy pr·vnÌ ochrany pr˘myslovÈho vlastnictvÌ;B;BC;40,00;43,20;1,00;40,00;43,20;RIV/61384399:31120/07:00025336!RIV08-MSM-31120___;F9!KWuMa-kyXo0CQ+8hjjcN2gtU=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F07%3A00025336!RIV08-MSM-31120___;MimoevropskÈ systÈmy pr·vnÌ ochrany pr˘myslovÈho vlastnictvÌ;AG;1;kniha v oborech I. kategorie (obory NRRE);Jakl, Ladislav;Jakl, Ladislav;Z(MSM6138439909);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Mind Maps and Their Formal and Content Analysis;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/07:00030113!RIV10-MSM-31130___;mUksQJ!bRzd8rUMrTQm-N7KwZBI=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F07%3A00030113!RIV10-MSM-31130___;Coference Proceedings of the 1st Special Focus Symposium on Market Microstructure-ICSKS;AM;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Frankov·, Emilie;Frankov·, Emilie;V;0;2007
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Mind Maps and Their Use in the Development of Creative Thinking and Creative Social Communication;D;neu;0,00;0,00;0,67;0,00;0,00;RIV/61384399:31130/07:00027151!RIV08-MSM-31130___;cP8MsWFAd3awhr3KQx8X+8PygbY=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F07%3A00027151!RIV08-MSM-31130___;PRE-Conference Proceedings of the Special Focus Symposium on 2th CISKS: Communication and Information Sciences in the Knowledge Society;AN;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Frankov·, Emilie;"Frankov·, Emilie; Hubinkov·, Zuzana";S, Z(MSM6138439905);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Minig conversion patterns from click streams;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/07:00027019!RIV08-MSM-31140___;CBDErw7iW0ZHkAAMS+cIzKJ8kt8=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00027019!RIV08-MSM-31140___;ZNALOSTI 2007;JC;2;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Kliegr, Tom·ö;Kliegr, Tom·ö;P(GA201/05/0325), Z(MSM6138439910);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta n·rodohospod·¯sk·;orjk:31150;MÌstnÌ referendum;C;BC;40,00;43,20;0,05;1,91;2,06;RIV/61384399:31150/07:00026716!RIV08-GA0-31150___;dTqqmiISJTac6S-BrWfTXuMT0jM=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31150%2F07%3A00026716!RIV08-GA0-31150___;Reforma ve¯ejnÈ spr·vy;AG;1;kniha v oborech I. kategorie (obory NRRE);Mates, Pavel;Mates, Pavel;P(GA407/05/0612);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta managementu v Jind¯ichovÏ Hradci;orjk:31160;Mixture Models of Household Income Distribution in the Czech Republic;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31160/07:00028606!RIV08-MSM-31160___;Hc+mvVKMY8c-zQTTSFLifA3XNS8=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31160%2F07%3A00028606!RIV08-MSM-31160___;6th International Conference APLIMAT (Part I);BB;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Bartoöov·, Jitka;"Bartoöov·, Jitka; BÌna, Vladislav";P(2C06019);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Mobbing - Harassment at Workplace Some characteristics of mobibing and suggestion for interventions;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/07:00030240!RIV10-MSM-31130___;Nt8XN3JFPfaPk4yDV2k9QYDQ67Y=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F07%3A00030240!RIV10-MSM-31130___;Conference Proceedings of the 1st Special Symposiums on Market Microstructure-ICSKS;AM;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Hubinkov·, Zuzana;Hubinkov·, Zuzana;V;0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Model produkt˘ podnikovÈ informatiky;J;Jrec;4,00;4,04;1,00;4,00;4,04;RIV/61384399:31140/07:00028218!RIV08-GA0-31140___;0geQzEJ1PH8sXKPcP3!MT7mFfUE=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00028218!RIV08-GA0-31140___;SystÈmov· integrace;BC;3;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";Bruckner, Tom·ö;Bruckner, Tom·ö;P(GA201/06/0175);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;Model st·diÌ r˘stu mal˝ch a st¯ednÌch podnik˘;C;BC;20,00;21,60;0,03;0,60;0,65;RIV/61384399:31120/07:00025970!RIV09-MSM-31120___;n!H65EmtGuQeYHwV5+yMQip72-w=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F07%3A00025970!RIV09-MSM-31120___;Integr·cia do EurÛpskej ˙nie a jej dosledky III;AH;1;"kniha v oborech II. kategorie (obory mimo NRRE) napsan· v jinÈm neû ""svÏtovÈm jazyce""";Srpov·, Jitka;"Srpov·, Jitka; Kub·lkov·, MarkÈta";Z(MSM6138439905), Z(MSM6138439909);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Model st·diÌ r˘stu mal˝ch a st¯ednÌch podnik˘;C;BC;20,00;21,60;0,03;0,60;0,65;RIV/61384399:31130/07:00025970!RIV09-MSM-31130___;n!H65EmtGuQeYHwV5+yMQip72-w=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F07%3A00025970!RIV09-MSM-31130___;Integr·cia do EurÛpskej ˙nie a jej dosledky III;AH;1;"kniha v oborech II. kategorie (obory mimo NRRE) napsan· v jinÈm neû ""svÏtovÈm jazyce""";Srpov·, Jitka;"Srpov·, Jitka; Kub·lkov·, MarkÈta";Z(MSM6138439905), Z(MSM6138439909);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Modeling Objects Dynamics in Conceptual Models;D;D;8,00;8,64;1,00;8,00;8,64;RIV/61384399:31140/07:00027289!RIV08-GA0-31140___;3c64zjE-H5ph2WivfrLE.F7zBFo=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00027289!RIV08-GA0-31140___;Advances in Information Systems Development;AE;1;Ël·nek ve sbornÌku evidovanÈm v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters (dohled·no podle ISBN);ÿepa, V·clav;ÿepa, V·clav;P(GA402/05/0228);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Modeling Woodland Recreation Demand in the Czech Republic Using a Random Utility Framework;D;neu;0,00;0,00;0,50;0,00;0,00;RIV/61384399:31130/07:00028054!RIV08-MSM-31130___;vgJVT!sNduF4mFeYTKJD4GqQbiQ=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F07%3A00028054!RIV08-MSM-31130___;Environmental Economics, Policy and International Relations;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Melichar, Jan;"Melichar, Jan; Urban, Jan";S;0;2007
Vysok· ökola ekonomick· v Praze / Fakulta n·rodohospod·¯sk·;orjk:31150;Modeling Woodland Recreation Demand in the Czech Republic Using a Random Utility Framework;D;neu;0,00;0,00;0,50;0,00;0,00;RIV/61384399:31150/07:00028054!RIV08-MSM-31150___;vgJVT!sNduF4mFeYTKJD4GqQbiQ=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31150%2F07%3A00028054!RIV08-MSM-31150___;Environmental Economics, Policy and International Relations;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Melichar, Jan;"Melichar, Jan; Urban, Jan";S;0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Modelling of income distributions using lognormal distribution;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/07:00027579!RIV08-MSM-31140___;NZMNyT1NZigCbuVn7gfQgGo9XfE=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00027579!RIV08-MSM-31140___;AMSE 2007;BB;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;BÌlkov·, Diana;BÌlkov·, Diana;Z(MSM6138439910);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Modelling Web Service Composition for Deductive Web Mining;J;Jimp;8,00;10,20;1,00;8,00;10,20;RIV/61384399:31140/07:00026254!RIV08-MSM-31140___;o5wLwxU6rVe-Q+Xa7fHrKdmPfs0=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00026254!RIV08-MSM-31140___;Computing and Informatics;JC;2;J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze SCOPUS, ISSN tiötÏnÈ podoby, II. kategorie (ostatnÌ obory);Sv·tek, VojtÏch;"Sv·tek, VojtÏch; Vacura, Miroslav; Labsk˝, Martin";P(GA201/03/1318), Z(MSM6138439910);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Modelov·nÌ a simulace dodavatelsk˝ch sÌtÌ;J;Jrec;4,00;4,32;1,00;4,00;4,32;RIV/61384399:31140/07:00026001!RIV08-GA0-31140___;XEfFPDBepVrutLZVw18oUe9-Jyw=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00026001!RIV08-GA0-31140___;Automa;AH;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";Fiala, Petr;Fiala, Petr;P(GA402/05/0148);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Modelov·nÌ Ëasov˝ch ¯ad akciov˝ch v˝nos˘;J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/07:00025340!RIV08-GA0-31140___;hfvp1ix5CKkQB4hDX6hLJRjKfVY=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00025340!RIV08-GA0-31140___;Acta Oeconomica Pragensia;BB;3;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;Treöl, Ji¯Ì;"Treöl, Ji¯Ì; Blatn·, Dagmar";P(GA402/05/0128);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Modelov·nÌ konkurence v sÌùovÈ ekonomice;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/07:00025407!RIV08-GA0-31140___;8r!wBQM0DtzBAEmonQtU0TBP28k=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00025407!RIV08-GA0-31140___;Firma a konkurenËnÌ prost¯edÌ 2007;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Fiala, Petr;"Fiala, Petr; Flusserov·, Lenka";P(GA402/05/0148);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Modelov·nÌ v˝nosovÈ k¯ivky pomocÌ metody hlavnÌch komponent a neline·rnÌch stochastick˝ch diferenci·lnÌch rovnic;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/07:00026593!RIV08-MSM-31140___;UoLyM9Mi1ZK+PqadtWmYd-7dhe4=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00026593!RIV08-MSM-31140___;SbornÌk pracÌ ˙ËastnÌk˘ vÏdeckÈho semin·¯e doktorskÈho studia FIS;BB;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Cicha, Martin;"Cicha, Martin; Zimmermann, Pavel";Z(MSM6138439910);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Models Fof Credit Migration In The Context Of Basel II and Solvency II;J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/07:00026449!RIV08-MSM-31140___;NADVknH936WKSzR8I0SnBBRXxAM=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00026449!RIV08-MSM-31140___;PojistnÈ rozpravy;BB;3;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;Cipra, Tom·ö;Cipra, Tom·ö;Z(MSM6138439910);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Modely mzdov˝ch rozdÏlenÌ;J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/07:00027501!RIV08-MSM-31140___;mYpWVWnh+Z+q-fmBeZhHzNjkE3E=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00027501!RIV08-MSM-31140___;Forum Statisticum Slovacum;BB;3;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;BÌlkov·, Diana;BÌlkov·, Diana;Z(MSM6138439910);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta managementu v Jind¯ichovÏ Hradci;orjk:31160;ModernÌ metody retail managementu;J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31160/07:00027035!RIV08-MSM-31160___;IUn9F.eZg!QbI7uw.Kg3vzV7iFk=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31160%2F07%3A00027035!RIV08-MSM-31160___;Acta Oeconomica Pragensia;AH;1;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;Heskov·, Marie;Heskov·, Marie;V, Z(MSM6007665806);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Modifikace IS-MP-IA modelu pro Ëeskou ekonomiku;J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/07:00025343!RIV08-GA0-31140___;0x+SjnTkNEvITBzsPFAvd-m5.2g=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00025343!RIV08-GA0-31140___;Acta Oeconomica Pragensia;AH;1;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;Huöek, Roman;"Huöek, Roman; ävarcov·, Radka";P(GA402/06/0190);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Mohou b˝t interpretace vyd·vanÈ N·rodnÌ ˙ËetnÌ radou n·pomocny p¯i vytv·¯enÌ ¯·dnÈ ˙ËetnÌ praxe v »R?;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/07:00026476!RIV08-MSM-31110___;+iYrRmiK.vKwUM+LSvWV9LianHY=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F07%3A00026476!RIV08-MSM-31110___;TeÛria, prax a vzdel·vanie v ˙ËtovnÌctve a audÌtorstve vo svetle medzin·rodn˝ch noriem;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;MejzlÌk, Ladislav;MejzlÌk, Ladislav;Z(MSM6138439903);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Moments of Order Statistics;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/07:00028552!RIV08-MSM-31140___;VbxPK5xH0z-1D-NG!QUw9DLbhXo=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00028552!RIV08-MSM-31140___;AMSE 2007;BB;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Kahounov·, Jana;Kahounov·, Jana;Z(MSM6138439910);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta managementu v Jind¯ichovÏ Hradci;orjk:31160;Monet·rnÌ teorie cyklu, dluhov˝ problÈm a finanËnÌ krize;J;Jimp;8,00;8,64;1,00;8,00;8,64;RIV/61384399:31160/07:00027058!RIV08-MSM-31160___;2SU!enkYIBpdz6oe74gEoIPZT.w=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31160%2F07%3A00027058!RIV08-MSM-31160___;Politick· ekonomie;AH;1;J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze SCOPUS, ISSN tiötÏnÈ podoby, II. kategorie (ostatnÌ obory);Dvo¯·k, Pavel;Dvo¯·k, Pavel;S;0;2007
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Monitor glob·lnÌho podnik·nÌ - Podnikatelsk· aktivita v »eskÈ republice;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/07:00026653!RIV08-MSM-31130___;xKX+6yw+HWC5.T1K7cje1Gd9AKg=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F07%3A00026653!RIV08-MSM-31130___;SvÏt pr·ce a kvalita ûivota;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Lukeö, Martin;Lukeö, Martin;R;0;2007
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Monitoring Public Policies in Program Budgeting (Some proposals for finance reform in the Czech Republic);D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/07:00026037!RIV08-MSM-31110___;sqqTviGPdaEtvvNg1cp!PRx!pj8=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F07%3A00026037!RIV08-MSM-31110___;Theoretical and Practical Aspects of Public Finance;AH;1;»l·nek ve sbornÌku m· mÈnÏ neû 2 strany;Ochrana, Frantiöek;Ochrana, Frantiöek;Z(MSM0021620841);0;2007
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Monte Carlo Simulation in MS Excel and Crystal Ball - Choosing The Optimal Mobile Phone Tariffs;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/07:00025810!RIV08-GA0-31140___;.!+Hn+ykiwTMZdPRaez1Ft+!iNk=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F07%3A00025810!RIV08-GA0-31140___;MOSIS 07;BB;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Kuncov·, Martina;Kuncov·, Martina;P(GA402/05/0148);0;2007
